空域ID,城市,垂直范围,水平范围
ZYHBAR01,哈尔滨,0-9800,"N533000 E1222035, N503748 E1230212, N501636 E1224618, N483112 E1230354, N475755 E1244238, N471650 E1253925, N453740 E1261531, N451742 E1311130, N451323 E1314128, National Boundaries, N533000 E1222035"
ZYHBAR02,哈尔滨,0-9800,"N451323 E1314128, N451742 E1311130, N453740 E1261531, N452654 E1260248, N441506 E1242330, N434618 E1255057, N435240 E1261656, N433724 E1271700, N440303 E1311747, National Boundaries, N451323 E1314128"
ZYHBAR03,哈尔滨,0-9800,"N441506 E1242330, N452654 E1260248, N453740 E1261531, N471650 E1253925, N475755 E1244238, N483112 E1230354, N460412 E1220424, N444836 E1230430, N441506 E1242330"
ZBLAAR01,海拉尔,0-12500,"N533000 E1222035, N503748 E1230212, N501636 E1224618, N483112 E1230354, N460412 E1220424, N463655 E1194603, National Boundaries, N533000 E1222035"
ZYTXAR01,沈阳,0-12500,"N411430 E1183754, N395400 E1192100, N401548 E1221130, N413400 E1224757, N421734 E1230855, N425303 E1220553, N411430 E1183754"
ZYTXAR02,沈阳,0-12500,"N440512 E1245343, N431021 E1233345, N420139 E1260358, N434609 E1264251, N435240 E1261656, N434618 E1255057, N440512 E1245343"
ZYTXAR03,沈阳,0-12500,"N403845 E1251608, N413400 E1224757, N401548 E1221130, N394941 E1241006, National Boundaries, N403845 E1251608"
ZYTXAR04,沈阳,0-12500,"N444836 E1230430, N445938 E1225554, N435955 E1200404, N425303 E1220553, N421734 E1230855, N431021 E1233345, N440512 E1245343, N441506 E1242330, N444836 E1230430"
ZYTXAR05,沈阳,0-12500,"N452317 E1152115, N431442 E1173100, N435955 E1200404, N445938 E1225554, N460412 E1220424, N463655 E1194603, National Boundaries, N452317 E1152115"
ZYTXAR06,沈阳,0-12500,"N414235 E1264351, N420139 E1260358, N431021 E1233345, N421734 E1230855, N413400 E1224757, N403845 E1251608, National Boundaries, N414235 E1264351"
ZYTXAR07,沈阳,0-12500,"N431442 E1173100, N411430 E1183754, N425303 E1220553, N435955 E1200404, N431442 E1173100"
ZYTXAR08,沈阳,0-12500,"N440303 E1311747, N433724 E1271700, N434609 E1264251, N420139 E1260358, N414235 E1264351, National Boundaries, N440303 E1311747"
ZYTXAR09,沈阳,9800-12500,"N440303 E1311747, N433724 E1271700, N435240 E1261656, N434618 E1255057, N441506 E1242330, N444836 E1230430, N460412 E1220424, N483112 E1230354, N501636 E1224618, N503748 E1230212, N533000 E1222035, National Boundaries, N440303 E1311747"
ZBAAAR01,北京,7800-12500,"N452317 E1152115, N431442 E1173100, N423341 E1175404, N422553 E1151044, N412000 E1143100, N412749 E1132340, N405806 E1125518, N413057 E1125726, N415625 E1123846, N432415 E1112236, National Boundaries, N452317 E1152115"
ZBAAAR02,北京,0-12500,"N415155 E1181718, N413740 E1171804, N413439 E1170452, N411246 E1165944, N410950 E1144332, N412000 E1143100, N422553 E1151044, N423341 E1175404, N415155 E1181718"
ZBAAAR03,北京,0-12500,"N404250 E1171655, N402102 E1170843, N400700 E1171117, N394636 E1171459, N393653 E1160645, N401905 E1160806, N402916 E1160846, N405221 E1150651, N410950 E1144332, N411246 E1165944, N404448 E1165513, N404250 E1171655"
