航班号,航空公司,起飞机场,到达机场,起飞机场三字码,到达机场三字码,计划起飞时间,实际起飞时间,计划到达时间,实际到达时间,状态,时长,起飞城市三字码,到达城市三字码,起飞城市,到达城市,日期
HO1907,吉祥航空,平潭机场,苏南硕放国际机场,HUZ,WUX,14:50,取消,17:00,取消,取消,2h10m,HUZ,WUX,惠州,无锡,2020-04-02
MU4929,东方航空,平潭机场,苏南硕放国际机场,HUZ,WUX,14:50,取消,17:00,取消,取消,2h10m,HUZ,WUX,惠州,无锡,2020-04-02
GJ8885,长龙航空,刘集机场,双流国际机场,XFN,CTU,09:20,09:15,11:20,10:39,到达,1h24m,XFN,CTU,襄阳,成都,2020-04-02
TV6905,西藏航空,刘集机场,双流国际机场,XFN,CTU,09:20,09:15,11:20,10:39,到达,1h24m,XFN,CTU,襄阳,成都,2020-04-02
QW6024,青岛航空,临沂启阳机场,太平国际机场,LYI,HRB,16:50,16:41,21:00,20:31,到达,3h50m,LYI,HRB,临沂,哈尔滨,2020-04-02
PN6346,西部航空,文山普者黑机场,江北国际机场,WNH,CKG,23:50,取消,01:40+1,取消,取消,1h50m,WNH,CKG,文山,重庆,2020-04-02
SC4921,山东航空,禄口国际机场,东郊机场,NKG,JMU,16:00,16:04,20:35,20:19,到达,4h15m,NKG,JMU,南京,佳木斯,2020-04-02
CA4921,中国国航,禄口国际机场,东郊机场,NKG,JMU,16:00,16:04,20:35,20:19,到达,4h15m,NKG,JMU,南京,佳木斯,2020-04-02
CZ9431,南方航空,香格里拉机场,长水国际机场,DIG,KMG,09:05,取消,10:05,取消,取消,1h0m,DIG,KMG,迪庆,昆明,2020-04-02
MU5932,东方航空,香格里拉机场,长水国际机场,DIG,KMG,09:05,取消,10:05,取消,取消,1h0m,DIG,KMG,迪庆,昆明,2020-04-02
MU5940,东方航空,香格里拉机场,长水国际机场,DIG,KMG,15:50,15:58,16:50,16:41,到达,0h43m,DIG,KMG,迪庆,昆明,2020-04-02
AQ1059,九元航空,白云国际机场,桃仙国际机场,CAN,SHE,06:15,06:20,11:55,取消,起飞,5h40m,CAN,SHE,广州,沈阳,2020-04-02
G58583,华夏航空,白云国际机场,桃仙国际机场,CAN,SHE,06:20,取消,11:45,取消,取消,5h25m,CAN,SHE,广州,沈阳,2020-04-02
GJ8061,长龙航空,白云国际机场,桃仙国际机场,CAN,SHE,06:20,取消,11:45,取消,取消,5h25m,CAN,SHE,广州,沈阳,2020-04-02
CZ3601,南方航空,白云国际机场,桃仙国际机场,CAN,SHE,08:30,取消,12:00,取消,取消,3h30m,CAN,SHE,广州,沈阳,2020-04-02
ZH9651,深圳航空,白云国际机场,桃仙国际机场,CAN,SHE,08:50,取消,14:25,取消,取消,5h35m,CAN,SHE,广州,沈阳,2020-04-02
CZ6332,南方航空,白云国际机场,桃仙国际机场,CAN,SHE,10:00,10:08,13:30,13:32,到达,3h24m,CAN,SHE,广州,沈阳,2020-04-02
MF1609,厦门航空,白云国际机场,桃仙国际机场,CAN,SHE,13:25,13:34,17:10,16:55,到达,3h21m,CAN,SHE,广州,沈阳,2020-04-02
CZ6330,南方航空,白云国际机场,桃仙国际机场,CAN,SHE,13:25,13:34,17:10,16:55,到达,3h21m,CAN,SHE,广州,沈阳,2020-04-02
3U1166,四川航空,白云国际机场,桃仙国际机场,CAN,SHE,15:35,取消,19:30,取消,取消,3h55m,CAN,SHE,广州,沈阳,2020-04-02
MF1618,厦门航空,白云国际机场,桃仙国际机场,CAN,SHE,15:35,取消,19:30,取消,取消,3h55m,CAN,SHE,广州,沈阳,2020-04-02
MU3274,东方航空,白云国际机场,桃仙国际机场,CAN,SHE,15:35,取消,19:30,取消,取消,3h55m,CAN,SHE,广州,沈阳,2020-04-02
CZ6368,南方航空,白云国际机场,桃仙国际机场,CAN,SHE,15:35,取消,19:30,取消,取消,3h55m,CAN,SHE,广州,沈阳,2020-04-02
CA3547,中国国航,白云国际机场,桃仙国际机场,CAN,SHE,17:15,17:18,22:35,21:59,到达,4h41m,CAN,SHE,广州,沈阳,2020-04-02
SC9045,山东航空,白云国际机场,桃仙国际机场,CAN,SHE,17:15,17:18,22:35,21:59,到达,4h41m,CAN,SHE,广州,沈阳,2020-04-02
KY9657,昆明航空,白云国际机场,桃仙国际机场,CAN,SHE,17:15,17:18,22:35,21:59,到达,4h41m,CAN,SHE,广州,沈阳,2020-04-02
ZH9657,深圳航空,白云国际机场,桃仙国际机场,CAN,SHE,17:15,17:18,22:35,21:59,到达,4h41m,CAN,SHE,广州,沈阳,2020-04-02
CZ6344,南方航空,白云国际机场,桃仙国际机场,CAN,SHE,18:40,取消,22:35,取消,取消,3h55m,CAN,SHE,广州,沈阳,2020-04-02
MF1612,厦门航空,白云国际机场,桃仙国际机场,CAN,SHE,18:40,取消,22:35,取消,取消,3h55m,CAN,SHE,广州,沈阳,2020-04-02
CZ5256,南方航空,白云国际机场,桃仙国际机场,CAN,SHE,19:40,取消,23:30,取消,取消,3h50m,CAN,SHE,广州,沈阳,2020-04-02
MU2798,东方航空,湛江机场,周水子国际机场,ZHA,DLC,20:25,20:22,01:40+1,00:58+1,到达,4h36m,ZHA,DLC,湛江,大连,2020-04-02
SC3627,山东航空,江北国际机场,武陵山机场,CKG,JIQ,09:05,08:59,10:00,09:40,到达,0h41m,CKG,JIQ,重庆,黔江,2020-04-02
G52633,华夏航空,江北国际机场,武陵山机场,CKG,JIQ,09:05,08:59,10:00,09:40,到达,0h41m,CKG,JIQ,重庆,黔江,2020-04-02
CA5823,中国国航,江北国际机场,武陵山机场,CKG,JIQ,09:05,08:59,10:00,09:40,到达,0h41m,CKG,JIQ,重庆,黔江,2020-04-02
MU6635,东方航空,江北国际机场,武陵山机场,CKG,JIQ,09:05,08:59,10:00,09:40,到达,0h41m,CKG,JIQ,重庆,黔江,2020-04-02
3U2009,四川航空,江北国际机场,武陵山机场,CKG,JIQ,09:05,08:59,10:00,09:40,到达,0h41m,CKG,JIQ,重庆,黔江,2020-04-02
GJ8856,长龙航空,江北国际机场,武陵山机场,CKG,JIQ,17:20,17:27,18:20,18:06,到达,0h39m,CKG,JIQ,重庆,黔江,2020-04-02
QW9832,青岛航空,江北国际机场,武陵山机场,CKG,JIQ,19:10,19:04,20:10,19:41,到达,0h37m,CKG,JIQ,重庆,黔江,2020-04-02
GS6427,天津航空,西关机场,龙湾国际机场,FUG,WNZ,11:10,取消,13:00,取消,取消,1h50m,FUG,WNZ,阜阳,温州,2020-04-02
JD5729,首都航空,三义机场,滨海国际机场,LJG,TSN,08:20,取消,11:30,取消,取消,3h10m,LJG,TSN,丽江,天津,2020-04-02
3U8578,四川航空,三义机场,滨海国际机场,LJG,TSN,15:20,取消,20:45,取消,取消,5h25m,LJG,TSN,丽江,天津,2020-04-02
G52640,华夏航空,湛江机场,龙洞堡国际机场,ZHA,KWE,17:55,取消,19:25,取消,取消,1h30m,ZHA,KWE,湛江,贵阳,2020-04-02
GS6496,天津航空,湛江机场,龙洞堡国际机场,ZHA,KWE,19:00,18:50,20:30,20:06,到达,1h16m,ZHA,KWE,湛江,贵阳,2020-04-02
CA5834,中国国航,湛江机场,龙洞堡国际机场,ZHA,KWE,22:30,22:16,00:05+1,23:28,到达,1h12m,ZHA,KWE,湛江,贵阳,2020-04-02
CA5833,中国国航,湛江机场,龙洞堡国际机场,ZHA,KWE,22:30,22:16,00:05+1,23:28,到达,1h12m,ZHA,KWE,湛江,贵阳,2020-04-02
G52644,华夏航空,湛江机场,龙洞堡国际机场,ZHA,KWE,22:30,22:16,00:05+1,23:28,到达,1h12m,ZHA,KWE,湛江,贵阳,2020-04-02
G54321,华夏航空,伊宁机场,阿勒泰机场,YIN,AAT,13:30,13:24,16:10,16:09,到达,2h45m,YIN,AAT,伊宁,阿勒泰,2020-04-02
8L9726,祥鹏航空,西关机场,长水国际机场,FUG,KMG,12:10,11:57,15:00,14:40,到达,2h43m,FUG,KMG,阜阳,昆明,2020-04-02
CZ6737,南方航空,潮汕机场,凤凰国际机场,SWA,SYX,09:30,09:32,11:20,11:12,到达,1h40m,SWA,SYX,揭阳,三亚,2020-04-02
MU2412,东方航空,中川机场,嘉峪关机场,LHW,JGN,14:25,14:10,16:05,15:28,到达,1h18m,LHW,JGN,兰州,嘉峪关,2020-04-02
CZ9031,南方航空,中川机场,嘉峪关机场,LHW,JGN,14:25,14:10,16:05,15:28,到达,1h18m,LHW,JGN,兰州,嘉峪关,2020-04-02
